lat,lon,altitude,delta_lat,delta_lon,distance,cumulative_distance,delta_altitude,gradient,color
47.754764,-122.196545,8.5,,,0.0,0.0,,0.0,"[68, 55, 129, 255]"
47.75469,-122.19668,10.2,-7.40000000050145e-05,-0.00013500000000021828,17.109992530533606,0.017109992530533608,1.6999999999999993,9.935714448537995,"[55, 88, 140, 255]"
47.754663,-122.196838,11.9,-2.69999999957804e-05,-0.00015799999999899228,17.81451049009501,0.03492450302062862,1.700000000000001,9.542782558887671,"[42, 117, 142, 255]"
47.754623,-122.196969,13.1,-3.999999999848569e-05,-0.00013099999999610645,15.22279771938077,0.05014730074000939,1.1999999999999993,7.882913654381875,"[35, 137, 141, 255]"
47.754669,-122.19711,13.5,4.5999999997548e-05,-0.0001409999999992806,16.483453686189215,0.0666307544261986,0.40000000000000036,2.42667591158486,"[32, 143, 140, 255]"
47.754771,-122.197247,13.6,0.00010199999999827014,-0.00013700000000937962,18.98265832576983,0.08561341275196845,0.09999999999999964,0.5267966071129514,"[32, 144, 140, 255]"
47.754875,-122.197377,13.6,0.00010400000000032605,-0.0001299999999986312,18.50255744012913,0.10411597019209756,0.0,0.0,"[32, 144, 140, 255]"
47.75498,-122.197518,14.0,0.00010500000000490672,-0.0001409999999992806,19.538349994128154,0.12365432018622571,0.40000000000000036,2.0472557821935427,"[30, 151, 138, 255]"
47.755086,-122.197685,14.3,0.00010599999999527654,-0.00016700000000469117,21.983339150163463,0.1456376593363892,0.3000000000000007,1.3646698436064022,"[30, 155, 137, 255]"
47.755218,-122.197859,14.4,0.00013200000000068712,-0.00017399999998701787,24.273123988439096,0.16991078332482829,0.09999999999999964,0.4119782853151826,"[30, 157, 136, 255]"
47.75535,-122.198035,14.4,0.00013200000000068712,-0.00017600000001039007,24.450580000969616,0.1943613633257979,0.0,0.0,"[30, 157, 136, 255]"
47.755456,-122.198191,14.4,0.00010600000000238197,-0.00015599999998983094,20.96141646047948,0.21532277978627737,0.0,0.0,"[30, 157, 136, 255]"
47.755562,-122.198379,14.5,0.00010599999999527654,-0.0001880000000085147,23.986463800221905,0.2393092435864993,0.09999999999999964,0.41690180275374533,"[30, 159, 136, 255]"
47.755677,-122.198565,14.5,0.00011500000000097543,-0.00018599999999935335,24.30389115691849,0.2636131347434178,0.0,0.0,"[30, 159, 136, 255]"
47.75578,-122.198781,14.6,0.00010300000000285081,-0.0002159999999946649,26.5956811299476,0.2902088158733654,0.09999999999999964,0.3760008984593984,"[31, 161, 135, 255]"
47.755853,-122.198984,14.8,7.300000000043383e-05,-0.00020299999999906504,23.97564736896152,0.3141844632423269,0.20000000000000107,0.8341797696729464,"[32, 164, 133, 255]"
47.755925,-122.199205,14.9,7.199999999585316e-05,-0.00022100000001046283,25.832347402370758,0.3400168106446977,0.09999999999999964,0.3871115483327008,"[33, 166, 133, 255]"
47.755984,-122.199456,15.0,5.9000000000253294e-05,-0.00025099999999156353,28.656194932383812,0.3686730055770815,0.09999999999999964,0.34896468367819333,"[33, 167, 132, 255]"
47.756042,-122.199698,15.2,5.800000000277805e-05,-0.0002420000000000755,27.657314742022947,0.3963303203191044,0.1999999999999993,0.7231360016889717,"[36, 170, 130, 255]"
47.756106,-122.199922,15.2,6.400000000184036e-05,-0.00022400000000288856,25.89133225587679,0.42222165257498123,0.0,0.0,"[36, 170, 130, 255]"
47.756151,-122.200175,15.4,4.500000000007276e-05,-0.00025300000000072487,28.559479459883807,0.45078113203486503,0.20000000000000107,0.7002928757190127,"[39, 173, 128, 255]"
47.756188,-122.200427,15.5,3.6999999998954536e-05,-0.0002520000000032496,28.307301840064294,0.47908843387492933,0.09999999999999964,0.3532657424045489,"[41, 175, 127, 255]"
47.756209,-122.200688,15.7,2.099999999671809e-05,-0.00026099999999473766,29.10102082138648,0.5081894546963158,0.1999999999999993,0.6872611144039948,"[44, 177, 125, 255]"
47.756229,-122.200966,15.8,1.9999999999242846e-05,-0.00027799999999444935,30.976494923830067,0.5391659496201459,0.10000000000000142,0.32282542051932384,"[47, 179, 123, 255]"
47.756258,-122.201243,15.9,2.900000000494174e-05,-0.00027700000001118497,30.95375783115918,0.570119707451305,0.09999999999999964,0.3230625520347517,"[50, 181, 122, 255]"
47.756304,-122.201529,15.9,4.5999999997548e-05,-0.00028599999998846215,32.19426547811656,0.6023139729294216,0.0,0.0,"[50, 181, 122, 255]"
47.756335,-122.20181,15.9,3.0999999999892225e-05,-0.00028100000000108594,31.419527992260132,0.6337335009216817,0.0,0.0,"[50, 181, 122, 255]"
47.75637,-122.20209,16.0,3.499999999689862e-05,-0.0002800000000036107,31.361094236440778,0.6650945951581224,0.09999999999999964,0.31886642489598543,"[53, 183, 120, 255]"
47.756397,-122.202363,16.0,2.7000000002885827e-05,-0.00027300000000707314,30.488974785542474,0.6955835699436649,0.0,0.0,"[53, 183, 120, 255]"
47.756409,-122.202644,16.2,1.1999999998124622e-05,-0.00028100000000108594,31.258522925510853,0.7268420928691758,0.1999999999999993,0.6398254980780756,"[57, 185, 118, 255]"
47.756443,-122.20291,16.4,3.399999999942338e-05,-0.00026599999999632473,29.803493115457403,0.7566455859846332,0.1999999999999993,0.6710622785899901,"[62, 188, 115, 255]"
47.756481,-122.203181,16.7,3.8000000003535206e-05,-0.0002709999999979118,30.41332492793946,0.7870589109125726,0.3000000000000007,0.9864097421469468,"[73, 193, 109, 255]"
47.756506,-122.203455,17.0,2.5000000000829914e-05,-0.0002740000000045484,30.578578533154886,0.8176374894457276,0.3000000000000007,0.9810789591632754,"[83, 197, 103, 255]"
47.756516,-122.203649,17.3,9.999999996068709e-06,-0.00019399999999336615,21.589591069598605,0.839227080515326,0.3000000000000007,1.3895585100842687,"[94, 201, 97, 255]"
47.75653,-122.203731,17.3,1.4000000000180535e-05,-8.200000000613272e-05,9.245268577699923,0.8484723490930259,0.0,0.0,"[94, 201, 97, 255]"
47.756547,-122.203763,17.3,1.699999999971169e-05,-3.199999999026204e-05,4.027159658450838,0.8524995087514768,0.0,0.0,"[94, 201, 97, 255]"
47.75656,-122.203872,17.4,1.3000000002705292e-05,-0.00010900000000901855,12.200004989474518,0.8646995137409513,0.09999999999999787,0.8196717959236269,"[98, 202, 95, 255]"
47.756578,-122.204052,17.5,1.7999999997186933e-05,-0.00018000000000029104,20.10479627980466,0.884804310020756,0.10000000000000142,0.4973937492739072,"[100, 203, 93, 255]"
47.756591,-122.204235,17.7,1.3000000002705292e-05,-0.00018299999999271677,20.389690699914034,0.90519400072067,0.1999999999999993,0.9808878562382631,"[109, 206, 88, 255]"
47.756617,-122.204434,17.5,2.5999999998305157e-05,-0.00019900000000916407,22.30463097434879,0.9274986316950189,-0.1999999999999993,-0.8966747767762094,"[100, 203, 93, 255]"
47.756658,-122.204656,17.2,4.100000000306636e-05,-0.00022199999999372722,25.090106170231113,0.95258873786525,-0.3000000000000007,-1.19569043655919,"[89, 199, 100, 255]"
47.756684,-122.204861,16.9,2.5999999998305157e-05,-0.00020499999999401552,22.96600778221207,0.975554745647462,-0.3000000000000007,-1.306278404348363,"[79, 195, 105, 255]"
47.756703,-122.205076,16.6,1.9000000001767603e-05,-0.00021500000001140052,23.988008607166357,0.9995427542546284,-0.29999999999999716,-1.2506248639179365,"[69, 191, 111, 255]"
47.756707,-122.205319,16.2,3.999999997006398e-06,-0.00024299999999755073,27.01043564902029,1.0265531899036486,-0.40000000000000213,-1.4809091019400522,"[57, 185, 118, 255]"
47.756711,-122.205568,15.7,4.0000000041118255e-06,-0.00024899999999661304,27.67718150021836,1.0542303714038672,-0.5,-1.8065423316173117,"[44, 177, 125, 255]"
47.756697,-122.205834,15.3,-1.4000000000180535e-05,-0.00026599999999632473,29.603891630248604,1.0838342630341158,-0.3999999999999986,-1.351173707146284,"[38, 172, 129, 255]"
47.756682,-122.206139,14.8,-1.5000000004761205e-05,-0.0003049999999973352,33.93836413507486,1.1177726271691906,-0.5,-1.473258987999532,"[32, 164, 133, 255]"
47.756641,-122.206441,14.8,-4.0999999995960934e-05,-0.00030200000000490945,33.871878084830506,1.1516445052540212,0.0,0.0,"[32, 164, 133, 255]"
47.756569,-122.206733,15.3,-7.200000000295859e-05,-0.0002920000000017353,33.42458077444783,1.185069086028469,0.5,1.4959050746935205,"[38, 172, 129, 255]"
47.756475,-122.207029,15.9,-9.399999999715192e-05,-0.00029600000000584714,34.516130597174914,1.2195852166256438,0.5999999999999996,1.7383176781962593,"[50, 181, 122, 255]"
47.7564,-122.207298,16.1,-7.500000000248974e-05,-0.00026899999998875046,31.036647768168557,1.2506218643938123,0.20000000000000107,0.6443994902217589,"[54, 184, 119, 255]"
47.7563,-122.207556,16.3,-9.999999999621423e-05,-0.00025800000000231194,30.752384219933695,1.281374248613746,0.1999999999999993,0.6503560783113502,"[61, 187, 116, 255]"
47.756213,-122.207801,16.1,-8.700000000061436e-05,-0.00024500000000671207,28.894857599192612,1.3102691062129386,-0.1999999999999993,-0.6921646847139602,"[54, 184, 119, 255]"
47.756099,-122.208014,15.7,-0.00011400000000350019,-0.00021300000000223918,26.849903535428293,1.3371190097483667,-0.40000000000000213,-1.4897632666434144,"[44, 177, 125, 255]"
47.75598,-122.208204,15.1,-0.00011899999999798183,-0.00018999999998925432,24.916213716662707,1.3620352234650295,-0.5999999999999996,-2.408070531192907,"[35, 168, 131, 255]"
47.755832,-122.208412,14.4,-0.00014800000000292357,-0.0002080000000006521,28.371590390194342,1.390406813855224,-0.6999999999999993,-2.467256824072612,"[30, 157, 136, 255]"
47.755647,-122.208605,14.2,-0.00018499999999477268,-0.00019300000001010176,29.71259126473872,1.4201194051199626,-0.20000000000000107,-0.6731153073052573,"[30, 154, 137, 255]"
47.75547,-122.208771,14.1,-0.00017700000000075988,-0.00016599999999300508,26.96924722756871,1.4470886523475313,-0.09999999999999964,-0.37079270013060234,"[30, 153, 138, 255]"
47.75529,-122.208888,14.3,-0.00018000000000029104,-0.00011700000000303135,23.859708167905676,1.470948360515437,0.20000000000000107,0.8382332197550779,"[30, 155, 137, 255]"
47.755112,-122.208982,14.6,-0.00017800000000534055,-9.400000000425734e-05,22.371814166050328,1.4933201746814873,0.29999999999999893,1.3409730555300914,"[31, 161, 135, 255]"
47.754902,-122.20912,14.0,-0.0002099999999956026,-0.000137999999992644,27.92753017202441,1.5212477048535118,-0.5999999999999996,-2.148417695027798,"[30, 151, 138, 255]"
47.7547,-122.209166,14.0,-0.0002020000000015898,-4.5999999997548e-05,23.024825181148866,1.5442725300346605,0.0,0.0,"[30, 151, 138, 255]"
47.754495,-122.209195,14.2,-0.00020500000000112095,-2.8999999997836312e-05,23.01033622627259,1.567282866260933,0.1999999999999993,0.8691746093290225,"[30, 154, 137, 255]"
47.754349,-122.209155,14.8,-0.00014600000000086766,3.999999999848569e-05,16.824256913446995,1.5841071231743802,0.6000000000000014,3.5662793494341143,"[32, 164, 133, 255]"
47.754148,-122.209113,15.8,-0.00020099999999700913,4.199999999343618e-05,22.821413348395044,1.6069285365227752,1.0,4.381849558280433,"[47, 179, 123, 255]"
47.753971,-122.209036,17.5,-0.00017700000000075988,7.700000000454565e-05,21.45241816760496,1.62838095469038,1.6999999999999993,7.924514554574314,"[100, 203, 93, 255]"
47.753748,-122.208993,17.3,-0.00022299999999830789,4.299999999091142e-05,25.24054532777693,1.653621500018157,-0.1999999999999993,-0.7923759071080829,"[94, 201, 97, 255]"
47.753583,-122.208897,17.9,-0.00016500000000263526,9.600000001341868e-05,21.215908217588183,1.6748374082357451,0.5999999999999979,2.828066533124386,"[116, 208, 84, 255]"
47.753436,-122.208814,18.1,-0.0001469999999983429,8.299999998939711e-05,18.761764305792248,1.6935991725415374,0.20000000000000284,1.0659978280307978,"[126, 210, 78, 255]"
47.753302,-122.208719,18.4,-0.00013400000000274304,9.500000000173259e-05,18.2555745461776,1.711854747087715,0.29999999999999716,1.6433336526393356,"[139, 213, 70, 255]"
47.753125,-122.208661,18.1,-0.00017700000000075988,5.7999999995672624e-05,20.700813508038163,1.7325555605957532,-0.29999999999999716,-1.4492184081727348,"[126, 210, 78, 255]"
47.752913,-122.208528,18.4,-0.0002119999999976585,0.0001330000000052678,27.81429726330036,1.7603698578590536,0.29999999999999716,1.0785819866670976,"[139, 213, 70, 255]"
47.752755,-122.20844,18.5,-0.00015799999999899228,8.800000000519503e-05,20.099880681800784,1.7804697385408546,0.10000000000000142,0.49751539117615423,"[144, 214, 67, 255]"
47.752565,-122.208405,18.3,-0.00019000000000346517,3.499999999689862e-05,21.47169814010778,1.801941436680962,-0.1999999999999993,-0.9314586983058032,"[134, 212, 73, 255]"
47.752391,-122.208347,18.1,-0.0001739999999941233,5.7999999995672624e-05,20.384237857888603,1.8223256745388507,-0.1999999999999993,-0.9811502465499354,"[126, 210, 78, 255]"
47.75223,-122.208299,18.2,-0.00016100000000562886,4.800000000670934e-05,18.671682768716067,1.8409973573075666,0.09999999999999787,0.5355703673776278,"[129, 211, 76, 255]"
47.752062,-122.208303,18.1,-0.000167999999995061,-4.0000000041118255e-06,18.676643582960732,1.8596740008905275,-0.09999999999999787,-0.5354281113509651,"[126, 210, 78, 255]"
47.751834,-122.208291,18.2,-0.00022799999999989495,1.1999999998124622e-05,25.374764254824917,1.8850487651453522,0.09999999999999787,0.3940923312459277,"[129, 211, 76, 255]"
47.751663,-122.208298,18.4,-0.00017100000000169757,-6.999999996537554e-06,19.020685758895823,1.904069450904248,0.1999999999999993,1.0514867998724016,"[139, 213, 70, 255]"
47.751584,-122.208388,18.0,-7.899999999949614e-05,-9.000000000014552e-05,13.309330285923526,1.9173787811901717,-0.3999999999999986,-3.005410425669986,"[121, 209, 81, 255]"
47.751373,-122.208496,17.4,-0.00021100000000018326,-0.00010799999999733245,26.34369426018726,1.9437224754503588,-0.6000000000000014,-2.2775848902360303,"[98, 202, 95, 255]"
47.75125,-122.208643,16.7,-0.00012300000000209366,-0.0001469999999983429,21.302189301084574,1.9650246647514433,-0.6999999999999993,-3.2860472231572917,"[73, 193, 109, 255]"
47.751127,-122.208784,16.1,-0.00012300000000209366,-0.0001409999999992806,20.79517311810762,1.985819837869551,-0.5999999999999979,-2.8852849485419356,"[54, 184, 119, 255]"
47.750984,-122.208965,15.4,-0.00014299999999423108,-0.00018100000001197714,25.636758614996257,2.0114565964845474,-0.7000000000000011,-2.7304543858775308,"[39, 173, 128, 255]"
47.750839,-122.209164,14.7,-0.00014500000000339242,-0.00019899999999495321,27.365030868798364,2.0388216273533457,-0.7000000000000011,-2.5580091736645607,"[31, 162, 134, 255]"
47.750749,-122.209368,14.3,-9.000000000014552e-05,-0.00020399999999654028,24.780757310335048,2.063602384663681,-0.3999999999999986,-1.6141556732536775,"[30, 155, 137, 255]"
47.750665,-122.209597,12.7,-8.400000000108321e-05,-0.00022900000000447562,27.10903253521055,2.0907114171988916,-1.6000000000000014,-5.902091850462913,"[37, 130, 142, 255]"
47.750622,-122.209813,6.5,-4.299999999801685e-05,-0.0002159999999946649,24.477087437530844,2.1151885046364223,-6.199999999999999,-25.329811056251355,"[70, 9, 92, 255]"
47.750588,-122.210012,6.1,-3.399999999942338e-05,-0.00019900000000916407,22.43714473850369,2.137625649374926,-0.40000000000000036,-1.7827580321018863,"[68, 1, 84, 255]"
47.750523,-122.210222,6.3,-6.49999999993156e-05,-0.0002099999999956026,24.43162850719152,2.162057277882117,0.20000000000000018,0.8186110063892369,"[69, 5, 88, 255]"
47.750478,-122.21044,11.8,-4.500000000007276e-05,-0.00021800000000382624,24.739102032994563,2.186796379915112,5.500000000000001,22.232011463733187,"[43, 115, 142, 255]"
47.750421,-122.210652,16.1,-5.699999999819738e-05,-0.00021199999999055308,24.39823812653158,2.2111946180416435,4.300000000000001,17.62422342834672,"[54, 184, 119, 255]"
47.750389,-122.210906,17.7,-3.2000000004472895e-05,-0.0002539999999982001,28.452452260052773,2.239647070301696,1.5999999999999979,5.623416868873538,"[109, 206, 88, 255]"
47.750316,-122.211128,18.3,-7.300000000043383e-05,-0.00022200000000793807,25.972544661162672,2.265619614962859,0.6000000000000014,2.3101317480731676,"[134, 212, 73, 255]"
47.750278,-122.21135,18.8,-3.799999999642978e-05,-0.00022199999999372722,25.03170055553428,2.290651315518393,0.5,1.9974671672454734,"[157, 217, 58, 255]"
47.750225,-122.211604,19.8,-5.300000000119098e-05,-0.0002539999999982001,28.83730466993388,2.319488620188327,1.0,3.4677304673436145,"[202, 224, 30, 255]"
47.750173,-122.211841,20.6,-5.200000000371574e-05,-0.00023700000001269927,26.966499097924405,2.3464551192862517,0.8000000000000007,2.9666438980267045,"[238, 229, 27, 255]"
47.750147,-122.21207,21.0,-2.5999999998305157e-05,-0.00022899999999026477,25.614344957531017,2.3720694642437827,0.3999999999999986,1.561624943613451,"[253, 231, 36, 255]"
47.750118,-122.213191,20.6,-2.8999999997836312e-05,-0.0011209999999977072,124.62850154479383,2.496697965788577,-0.3999999999999986,-0.320953870937966,"[238, 229, 27, 255]"
47.750076,-122.213476,19.8,-4.2000000000541604e-05,-0.00028500000000519776,32.01671355760342,2.52871467934618,-0.8000000000000007,-2.4986949349459837,"[202, 224, 30, 255]"
47.750035,-122.213709,18.9,-4.100000000306636e-05,-0.0002329999999943766,26.29324197635407,2.5550079213225345,-0.9000000000000021,-3.4229327855780824,"[159, 217, 56, 255]"
47.750059,-122.213989,18.4,2.400000000335467e-05,-0.0002800000000036107,31.233025202984425,2.5862409465255185,-0.5,-1.6008695819584688,"[139, 213, 70, 255]"
47.75011,-122.214238,18.1,5.099999999913507e-05,-0.00024899999999661304,28.24811460379822,2.6144890611293166,-0.29999999999999716,-1.062017781390831,"[126, 210, 78, 255]"
47.75019,-122.214488,18.1,8.000000000407681e-05,-0.00025000000000829914,29.172664387679983,2.6436617255169965,0.0,0.0,"[126, 210, 78, 255]"
47.750271,-122.214751,17.7,8.099999999444663e-05,-0.000263000000003899,30.584435086062154,2.674246160603059,-0.40000000000000213,-1.3078547923950012,"[109, 206, 88, 255]"
47.750373,-122.214972,17.4,0.00010200000000537557,-0.00022099999999625197,27.051561357447145,2.701297721960506,-0.3000000000000007,-1.1089932889119998,"[98, 202, 95, 255]"
47.750483,-122.215212,17.1,0.00010999999999938836,-0.00023999999999091415,29.34153794909478,2.7306392599096005,-0.29999999999999716,-1.0224412930244937,"[85, 198, 102, 255]"
47.750595,-122.215464,16.9,0.00011199999999433885,-0.0002520000000032496,30.648581802621383,2.761287841712222,-0.20000000000000284,-0.6525587424828146,"[79, 195, 105, 255]"
47.75069,-122.215703,16.8,9.500000000173259e-05,-0.00023900000000764976,28.583689008315528,2.7898715307205375,-0.09999999999999787,-0.34984987406945967,"[75, 194, 108, 255]"
47.750787,-122.215943,16.7,9.70000000037885e-05,-0.00023999999999091415,28.76954895993502,2.8186410796804724,-0.10000000000000142,-0.3475897385088073,"[73, 193, 109, 255]"
47.750896,-122.216189,16.9,0.0001089999999948077,-0.0002460000000041873,29.903826885867005,2.8485449065663397,0.1999999999999993,0.6688107203246361,"[79, 195, 105, 255]"
47.751017,-122.216418,17.3,0.00012100000000003774,-0.00022900000000447562,28.78521555369621,2.877330122120036,0.40000000000000213,1.389602239572736,"[94, 201, 97, 255]"
47.751124,-122.216667,17.4,0.00010699999999985721,-0.00024899999999661304,30.12051442466145,2.9074506365446973,0.09999999999999787,0.331999641805991,"[98, 202, 95, 255]"
47.751225,-122.216899,17.3,0.0001010000000007949,-0.00023199999999690135,28.121681056815383,2.9355723176015127,-0.09999999999999787,-0.355597518505255,"[94, 201, 97, 255]"
47.751319,-122.217138,16.9,9.400000000425734e-05,-0.00023900000000764976,28.54282348535703,2.96411514108687,-0.40000000000000213,-1.4014030539242524,"[79, 195, 105, 255]"
47.751411,-122.217379,16.6,9.1999999995096e-05,-0.0002409999999883894,28.669769379010962,2.992784910465881,-0.29999999999999716,-1.0463983718670096,"[69, 191, 111, 255]"
47.751534,-122.217612,16.8,0.00012300000000209366,-0.00023300000000858745,29.28212116505512,3.022067031630936,0.1999999999999993,0.683010629157141,"[75, 194, 108, 255]"
47.75164,-122.21785,16.7,0.00010600000000238197,-0.00023799999999596366,28.955922235908595,3.0510229538668447,-0.10000000000000142,-0.3453524953730888,"[73, 193, 109, 255]"
47.751738,-122.218105,16.7,9.800000000126374e-05,-0.00025499999999567535,30.36129530446166,3.081384249171306,0.0,0.0,"[73, 193, 109, 255]"
47.751856,-122.21837,16.9,0.00011799999999340116,-0.0002649999999988495,32.23969796164445,3.1136239471329508,0.1999999999999993,0.6203532062798452,"[79, 195, 105, 255]"
47.75197,-122.218627,17.2,0.00011400000000350019,-0.0002570000000048367,31.24666610822681,3.1448706132411774,0.3000000000000007,0.9601024280827674,"[89, 199, 100, 255]"
47.75205,-122.218901,16.9,7.999999999697138e-05,-0.0002740000000045484,31.723517406343795,3.1765941306475214,-0.3000000000000007,-0.9456706712478526,"[79, 195, 105, 255]"
47.752142,-122.21915,17.2,9.200000000220143e-05,-0.00024899999999661304,29.502119168094257,3.206096249815616,0.3000000000000007,1.0168761040204957,"[89, 199, 100, 255]"
47.75225,-122.219424,17.9,0.00010799999999733245,-0.0002740000000045484,32.732275185926355,3.2388285250015425,0.6999999999999993,2.1385620034777566,"[116, 208, 84, 255]"
47.752297,-122.219663,17.8,4.700000000212867e-05,-0.0002389999999934389,27.07096011261262,3.265899485114155,-0.09999999999999787,-0.36939953213335386,"[114, 207, 85, 255]"
47.752377,-122.219902,18.6,8.000000000407681e-05,-0.00023900000000764976,28.010776486210865,3.293910261600366,0.8000000000000007,2.8560436387539077,"[146, 215, 65, 255]"
47.752426,-122.220173,18.6,4.899999999707916e-05,-0.0002709999999979118,30.60704297644198,3.324517304576808,0.0,0.0,"[146, 215, 65, 255]"
47.752466,-122.220442,18.7,3.999999999848569e-05,-0.0002690000000029613,30.225108743504357,3.354742413320312,0.09999999999999787,0.3308507534203289,"[151, 216, 62, 255]"
